participant_id,song_no,song_id,valence_rating,valence,arousal_rating,arousal,play_duration
hku1919,16,370177,9.3,positive,1,positive,72
hku1919,8,1119687,9.8,positive,-3,negative,73
hku1919,18,77933,-0.1,negative,1.9,positive,41
hku1919,14,238585,1,positive,-1.8,negative,66
hku1919,20,1168711,0.2,positive,-3.4,negative,33
hku1919,2,370260,7.3,positive,-1.2,negative,54
hku1919,15,197855,0.2,positive,-5,negative,50
hku1919,27,719759,7.3,positive,-5.4,negative,59
hku1919,12,769143,3,positive,-3.8,negative,51
hku1919,1,425531,7.1,positive,-3.5,negative,45
hku1919,4,265968,2.2,positive,-7.2,negative,66
hku1919,17,1218955,-2.1,negative,-1.8,negative,47
hku1919,6,1243017,0,neutral,-6.3,negative,34
hku1919,13,1119655,5,positive,1.1,positive,50
hku1919,22,1109636,5.9,positive,3,positive,36
hku1919,32,423152,9,positive,-8.2,negative,122
hku1919,7,1119658,9.8,positive,1.9,positive,66
hku1919,11,950929,-1.8,negative,-7.2,negative,49
hku1919,19,763912,-1.2,negative,2.6,positive,40
hku1919,31,873131,4.2,positive,-1.8,negative,66
hku1919,9,1119686,9.5,positive,-1.4,negative,106
hku1919,24,1032378,6.2,positive,3.5,positive,60
hku1919,3,370177,9.2,positive,-1,negative,124
hku1919,28,368188,5.3,positive,-4.5,negative,42
hku1919,21,116900,-2.8,negative,-5.1,negative,34
hku1919,0,425532,6.8,positive,-2.2,negative,85
hku1919,25,370260,5.9,positive,-7.6,negative,33
hku1919,5,1106477,7.9,positive,-0.6,negative,33
hku1919,23,1056280,6.8,positive,5.8,positive,37
hku1919,10,395289,1,positive,-5.8,negative,39
hku1919,29,334661,8.2,positive,-7.6,negative,43
hku1919,26,114781,6.8,positive,3.4,positive,64
hku1919,30,334659,6.6,positive,1.2,positive,42
hku1926,8,895271,-1.4,negative,6.1,positive,63
hku1926,4,80408,-0.1,negative,-0.1,negative,93
hku1926,34,520835,1.1,positive,0.6,positive,49
hku1926,21,1234069,0.3,positive,0.3,positive,54
hku1926,14,524653,5.5,positive,7.7,positive,42
hku1926,18,283343,2.1,positive,2.3,positive,36
hku1926,16,1143663,-1.4,negative,-6.4,negative,34
hku1926,10,467927,4.3,positive,7.5,positive,43
hku1926,0,1124800,-6,negative,4.1,positive,93
hku1926,30,25217,3,positive,-8.3,negative,64
hku1926,13,1119018,-0.6,negative,-3.2,negative,33
hku1926,2,1107251,-2.1,negative,0.9,positive,36
hku1926,7,1119687,1.8,positive,-5.8,negative,34
hku1926,15,1119020,-0.4,negative,-1,negative,33
hku1926,32,25385,3,positive,-6,negative,39
hku1926,12,175331,-0.8,negative,7,positive,51
hku1926,29,1143656,0.2,positive,-3.2,negative,57
hku1926,27,80616,3.3,positive,1,positive,35
hku1926,31,461018,2.9,positive,-7.4,negative,44
hku1926,11,703361,2.8,positive,8.6,positive,61
hku1926,26,1133532,3.2,positive,-7,negative,34
hku1926,20,1117813,0.2,positive,0.2,positive,40
hku1926,17,1038567,-5.3,negative,1.2,positive,70
hku1926,35,552655,1.8,positive,-6.9,negative,56
hku1926,23,1107251,-0.3,negative,5.3,positive,50
hku1926,33,80408,3.4,positive,5.4,positive,37
hku1926,28,26404,1.2,positive,-6.2,negative,40
hku1926,22,983415,0.8,positive,-1.7,negative,39
hku1926,6,983414,-0.3,negative,-4.7,negative,33
hku1926,24,1165641,0.5,positive,-0.4,negative,50
hku1926,1,1128524,2.1,positive,-3.5,negative,70
hku1926,25,945192,0.9,positive,1.4,positive,41
hku1926,5,1119018,-0.3,negative,-3.8,negative,68
hku1926,9,330650,0.7,positive,5.3,positive,45
hku1926,19,1128524,4.4,positive,-0.8,negative,40
hku1926,3,25383,1.1,positive,-7.2,negative,41
hku1921,20,437791,1.9,positive,5.9,positive,48
hku1921,24,737755,1.5,positive,4.4,positive,110
hku1921,26,1165278,-6.7,negative,5,positive,111
hku1921,22,103301,2,positive,2.8,positive,33
hku1921,12,1947,0.6,positive,-3,negative,61
hku1921,13,26403,0.6,positive,-1,negative,92
hku1921,19,1102306,1.4,positive,2.2,positive,51
hku1921,17,461013,1.8,positive,-0.8,negative,63
hku1921,18,74468,1.4,positive,4,positive,38
hku1921,7,1071844,1.6,positive,3.4,positive,38
hku1921,16,540707,1.4,positive,2.6,positive,81
hku1921,23,42263,1.6,positive,4.3,positive,36
hku1921,14,26404,0.2,positive,-0.8,negative,52
hku1921,1,703613,2.7,positive,3.4,positive,39
hku1921,9,1165400,2.6,positive,3.4,positive,55
hku1921,15,777853,1.1,positive,-1.9,negative,48
hku1921,4,1078438,1.8,positive,1.4,positive,72
hku1921,0,1071844,1.4,positive,1.7,positive,59
hku1921,2,225620,2.4,positive,1.5,positive,148
hku1921,25,1067700,-2,negative,2.6,positive,52
hku1921,8,5089,1.8,positive,-2.8,negative,39
hku1921,6,951690,-4,negative,7.2,positive,41
hku1921,21,339337,-0.8,negative,4,positive,33
hku1921,5,503972,-0.7,negative,2.3,positive,63
hku1921,10,188266,1.8,positive,-3.9,negative,37
hku1921,3,236911,2.2,positive,1.8,positive,83
hku1921,27,25217,1.2,positive,1.4,positive,125
hku1921,11,972905,1.8,positive,-4.4,negative,93
hku1928,8,1166871,6,positive,-3.6,negative,44
hku1928,15,157634,2.4,positive,4.8,positive,40
hku1928,34,318075,2.8,positive,8.2,positive,77
hku1928,10,379762,0.2,positive,5.8,positive,38
hku1928,16,1215510,-2.6,negative,-6.6,negative,63
hku1928,38,345913,5.5,positive,-4.7,negative,33
hku1928,7,127609,-1.9,negative,0.4,positive,54
hku1928,20,376418,5.1,positive,-3.8,negative,33
hku1928,33,240147,5.6,positive,9,positive,35
hku1928,6,765494,7,positive,-5.2,negative,54
hku1928,0,84728,3.8,positive,-1.5,negative,116
hku1928,5,1007842,1.8,positive,0,neutral,112
hku1928,30,358897,4,positive,-3.5,negative,48
hku1928,4,1209516,-4.1,negative,3.8,positive,42
hku1928,36,2084,1.6,positive,4.6,positive,40
hku1928,26,858373,1.4,positive,2.1,positive,35
hku1928,39,476948,5.6,positive,8.6,positive,32
hku1928,18,936002,2.2,positive,-7.7,negative,44
hku1928,28,1116406,7.1,positive,-5.9,negative,63
hku1928,14,26438,-0.7,negative,2,positive,41
hku1928,23,18231,-0.6,negative,-5.7,negative,42
hku1928,17,1240700,-2.3,negative,9,positive,57
hku1928,35,1184891,7.6,positive,6,positive,40
hku1928,29,777858,2.6,positive,-3.2,negative,33
hku1928,11,40637,3.4,positive,-4.6,negative,42
hku1928,32,1153685,-4.4,negative,7,positive,34
hku1928,19,1242645,-2.3,negative,-2.2,negative,49
hku1928,22,1143656,-2.3,negative,1.9,positive,34
hku1928,1,259829,8.3,positive,2.4,positive,94
hku1928,24,415829,-2.2,negative,-0.8,negative,37
hku1928,12,1133532,-0.7,negative,-6.3,negative,78
hku1928,3,25385,3.5,positive,-2.7,negative,53
hku1928,37,399196,4.5,positive,-3.8,negative,33
hku1928,2,464045,-4.7,negative,3.8,positive,73
hku1928,13,306759,4.1,positive,7,positive,41
hku1928,9,519070,3.6,positive,5.8,positive,39
hku1928,21,1245661,-2.2,negative,-2.6,negative,60
hku1928,25,162619,2.5,positive,2.2,positive,33
hku1928,31,1109774,6.9,positive,8.7,positive,54
hku1928,27,48978,-6.4,negative,-2.1,negative,34
hku1917,36,461015,5,positive,3.3,positive,33
hku1917,15,31431,7,positive,7,positive,85
hku1917,11,84030,5.9,positive,5,positive,34
hku1917,26,117495,0.3,positive,-5.9,negative,51
hku1917,2,1116249,1.4,positive,1.6,positive,34
hku1917,25,117470,6.7,positive,-3,negative,41
hku1917,28,1240700,-2.2,negative,-0.8,negative,32
hku1917,4,176449,-1.5,negative,4.4,positive,56
hku1917,1,1136662,7.9,positive,-0.3,negative,63
hku1917,19,945196,4.5,positive,3.6,positive,53
hku1917,22,1122162,5.2,positive,0.6,positive,33
hku1917,9,26430,7.8,positive,-7.9,negative,42
hku1917,30,1000086,5.3,positive,-2.9,negative,35
hku1917,34,25383,6.2,positive,-5.5,negative,42
hku1917,14,295099,-0.2,negative,-5.4,negative,43
hku1917,3,692030,-1.1,negative,2.1,positive,62
