participant_id,Extroversion_score,Agreeableness_score,Conscientiousness_score,Emotional_Stability_score,Openness_score,Extroversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness
hku1903,6,4,5,6.5,6.5,1,0,0,1,1
hku1904,6,4,6,5.5,6,1,0,1,1,1
hku1905,5,5,5,4.5,4,1,0,0,0,0
hku1906,6,5,4.5,3.5,4.5,1,0,0,0,0
hku1907,4,3,5,3.5,5,0,0,0,0,0
hku1908,6,4.5,4.5,4,3,1,0,0,0,0
hku1909,1,6,5,4,3.5,0,1,0,0,0
hku1910,4.5,4,7,7,5,1,0,1,1,0
hku1911,6,2.5,6,3.5,6,1,0,1,0,1
hku1912,3,5,4.5,7,6,0,0,0,1,1
hku1913,4,4,3.5,4.5,3.5,0,0,0,0,0
hku1914,4.5,5.5,5,4.5,3.5,1,1,0,0,0
hku1915,3,5,7,3,5.5,0,0,1,0,1
hku1916,2.5,2.5,6,3.5,4,0,0,1,0,0
hku1917,6,5,3.5,5,5.5,1,0,0,1,1
hku1918,4,5.5,4.5,5,5,0,1,0,1,0
hku1919,3.5,5,4,3.5,5.5,0,0,0,0,1
hku1920,5,6,7,6.5,5,1,1,1,1,0
hku1921,2,4.5,4.5,5,3.5,0,0,0,1,0
hku1922,2.5,5.5,4,6.5,4,0,1,0,1,0
hku1923,2.5,5,7,4,7,0,0,1,0,1
hku1924,6.5,4,5.5,3,6.5,1,0,1,0,1
hku1925,4,3.5,5.5,6,5,0,0,1,1,0
hku1926,6.5,5,5.5,3.5,5,1,0,1,0,0
hku1927,2,5.5,2,5.5,4.5,0,1,0,1,0
hku1928,5,3.5,2.5,4,6.5,1,0,0,0,1
hku1929,4,4.5,6,3,4,0,0,1,0,0
hku1930,5.5,4.5,5.5,5.5,6,1,0,1,1,1
hku1931,6,4,3.5,2,6,1,0,0,0,1
hku1932,4,4.5,6.5,2,4.5,0,0,1,0,0
